BioEditor relation	BioEditor isNegative evidence	Annotation category	Modifier_changename?	Terminology	?_Effect_?Vario?	bioObject	description
increases binding to	true	binary-interaction	AMBIGOUS: gains or not-changed or decreases		effect on protein interaction (VariO_0058)	true	
decreases binding to	true	binary-interaction	AMBIGOUS: gains or increases or not-changed		effect on protein interaction (VariO_0058)	true	
gains binding to	true	binary-interaction	AMBIGOUS: not-changed or increases or decreases		effect on protein interaction (VariO_0058)	true	
is a labile form of	true	vario-protein-property	AMBIGOUS: not-changed or increases		effect on protein stability (VariO_0034)	false	BioEditor object does NOT correspond to the BioObject in neXtProt.\nNeed to agree on annotation category and cv term
is a more stable form of	true	vario-protein-property	AMBIGOUS: not-changed or decreases		effect on protein stability (VariO_0034)	false	BioEditor object does NOT correspond to the BioObject in neXtProt.\nNeed to agree on annotation category and cv term
has no effect on stability of	true	vario-protein-property	AMBIGOUS: increases or decreases		effect on protein stability (VariO_0034)	false	BioEditor object does NOT correspond to the BioObject in neXtProt.\nNeed to agree on annotation category and cv term
removes PTM site	true	generic-ptm	not-changed		effect on protein post translational modification (VariO_0107)	false	
gains PTM site	true	generic-ptm	not-changed		effect on protein post translational modification (VariO_0107)	false	
causes phenotype	true						NOT SUPPORTED
does not cause phenotype	true						NOT SUPPORTED
is a poorer substrate for	true	vario-protein-property	AMBIGOUS: not-changed or increases		effect on protein specificity (VariO_0055) ????	false	Need to agree on annotation category and cv term
is a dominant negative form	true						NOT SUPPORTED
